ID,Tenmon,Mahang,Gia,Link
G17,Áo mưa,Xanh 1 người,"89,000 ₫",https://shopee.vn/%C3%81o-m%C6%B0a-c%C3%A1nh-d%C6%A1i-2-%C4%91%E1%BA%A7u-1-%C4%91%E1%BA%A7u-%C3%81o-m%C6%B0a-2-ng%C6%B0%E1%BB%9Di-1-ng%C6%B0%E1%BB%9Di-V%E1%BA%A3i-d%C3%B9-ong-cao-c%E1%BA%A5p-Si%C3%AAu-b%E1%BB%81n-Handigo-i.126084313.2392566253?extraParams=%7B%22display_model_id%22%3A4894686403%2C%22model_selection_logic%22%3A3%7D&rModelId=4894686403&sp_atk=97b72b39-f0a3-4208-897e-7368dc9e798c&vItemId=48950660661&vModelId=390055798090&vShopId=1506174776&xptdk=97b72b39-f0a3-4208-897e-7368dc9e798c
G4,Cà vạt ngôi sao,Moon night /yan,"130,000 ₫",https://shopee.vn/product/735293564/20260365761?d_id=ca4f8&uls_trackid=551aro9201r4&utm_content=2pAAiShww51aWc9F4zX9y8763tCw
G5,Cà vạt mèo,Mèo trắng//Cá,"150,000 ₫",https://shopee.vn/product/104593214/42628583580?d_id=ca4f8&uls_trackid=551arqo802q7&utm_content=2pAAiShww53Vd5foDhAei8uKZDLb
G6,Bảng phấn mắt,102#,"150,000 ₫",https://shopee.vn/product/396728751/20485445126?d_id=ca4f8&uls_trackid=551arusm01q9&utm_content=2pAAiShww57zei2x4vGdp9KFNaZu
G16,Áo babydoll,Đen (L - Bigsize),"150,000 ₫",https://shopee.vn/product/853183768/29653604027?d_id=ca4f8&uls_trackid=551avsms00qe&utm_content=2pAAiShww6kuqWXAFugEpa45NNDm
G12,Kem lót,Lọ màu tím,"180,000 ₫",https://shopee.vn/product/850624476/42521803525?d_id=ca4f8&uls_trackid=551avgl400q9&utm_content=2pAAiShww5vKnS8fw4nfXwBDHJf1
G10,Son môi,7,"189,000 ₫",https://shopee.vn/product/8364693/51452735367?d_id=ca4f8&uls_trackid=551augm900po&utm_content=2pAAiShww5cfdByPWM198jS5HkaT
G11,Son môi,3,"189,000 ₫",https://shopee.vn/product/8364693/51452735367?d_id=ca4f8&uls_trackid=551avbtk00q7&utm_content=2pAAiShww5cfdByPWM198jS5HkaT
G7,Phấn má,Bảng hồng 01,"220,000 ₫",https://shopee.vn/product/4842566/46351088424?d_id=ca4f8&uls_trackid=551at9gh0227&utm_content=2pAAiShww5H7y8EWanZ1BHRKA1io
G8,Bảng phấn mắt Chioture,06#,"237,000 ₫",https://shopee.vn/product/1117426733/25378381925?d_id=ca4f8&uls_trackid=551atgg201po&utm_content=2pAAiShww5QzAPvZaBJremFeLZTM
G9,Áo sơ mi,L,"278,000 ₫",https://shopee.vn/product/1477104646/28286516076?d_id=ca4f8&uls_trackid=551atmmu01q9&utm_content=2pAAiShww5WhQqVJs4GJG13LJqfD
G2,Dầu gội đầu,Bồ kết Cam Bưởi,"300,000 ₫",https://shopee.vn/product/897768078/20461415043?d_id=ca4f8&uls_trackid=551arir600q7&utm_content=2pAAiShww4ySCE8GWCnbbFzLv5Hy
G3,Dầu xả,Bồ kết Cam Bưởi,"300,000 ₫",https://shopee.vn/product/897768078/20461415043?d_id=ca4f8&uls_trackid=551arir600q7&utm_content=2pAAiShww4ySCE8GWCnbbFzLv5Hy
G13,Quần Yume,Trắng (L),"300,000 ₫",https://www.instagram.com/cam.inthemorning/p/C93y6I2PgUU/
G14,Quần Yume,Đen (L),"300,000 ₫",https://www.instagram.com/cam.inthemorning/p/C93y6I2PgUU/
G15,Quần Yume,Xanh dương (L),"300,000 ₫",https://www.instagram.com/cam.inthemorning/p/C93y6I2PgUU/
G1,Boot,Nâu (39),"363,960 ₫",https://shopee.vn/product/446089250/45450597331?d_id=ca4f8&uls_trackid=551ardh200q9&utm_content=2pAAiShww4exvPnpopRbkxYEfrfZ
G18,,,,
